budget,id,original_language,popularity,revenue,runtime,status,title,vote_average,vote_count,genre,release_date,production_country
237000000,19995,en,150.437577,2787965087,162,Released,Avatar,7.2,11800,Action,2009-12-10,USA
300000000,285,en,139.082615,961000000,169,Released,Pirates of the Caribbean: At World's End,6.9,4500,Action,2007-05-19,united_state
245000000,206647,en,107.376788,880674609,148,Released,Spectre,6.3,4466,Action,2015-10-26,united_kingdom
250000000,49026,en,112.31295,1084939099,165,Released,The Dark Knight Rises,7.6,9106,Action,2012-07-16,united_state
260000000,49529,en,43.926995,284139100,132,Released,John Carter,6.1,2124,Action,2012-03-07,USA
258000000,559,en,115.699814,890871626,139,Released,Spider-Man 3,5.9,3576,Action,01/05/2007,USA
260000000,38757,en,48.681969,591794936,100,Released,Tangled,7.4,3330,Animation,2010-11-24,united_state
280000000,99861,en,134.279229,1405403694,141,Released,Avengers: Age of Ultron,7.3,6767,Action,2015-04-22,united_state
250000000,767,en,98.885637,933959197,153,Released,Harry Potter and the Half-Blood Prince,7.4,5293,Advanture,2009-07-07,united_kingdom
250000000,209112,en,155.790452,873260194,151,Released,Batman v Superman: Dawn of Justice,5.7,7004,Action,2016-03-23,united_state
270000000,1452,en,57.925623,391081192,154,Released,Superman Returns,5.4,1400,Action,2006-06-28,united_state
200000000,10764,en,107.928811,586090727,106,Released,Quantum of Solace,6.1,2965,Advanture,2008-10-30,united_kingdom
200000000,58,en,145.847379,1065659812,151,Released,Pirates of the Caribbean: Dead Man's Chest,7,5246,Advanture,2006-06-20,jamaica
255000000,57201,en,49.046956,89289910,149,Released,The Lone Ranger,5.9,2311,Action,2013-07-03,united_state
225000000,49521,en,99.398009,662845518,143,Released,Man of Steel,6.5,6359,Action,2013-06-12,united_kingdom
225000000,2454,en,53.978602,419651413,150,Released,The Chronicles of Narnia: Prince Caspian,6.3,1630,Advanture,2008-05-15,czech republic
220000000,24428,en,144.448633,1519557910,143,Released,The Avengers,7.4,11776,Science fiction,2012-04-25,USA
380000000,1865,en,135.413856,1045713802,136,Released,Pirates of the Caribbean: On Stranger Tides,6.4,4948,Advanture,2011-05-14,united_state
225000000,41154,en,52.035179,624026776,106,Released,Men in Black 3,6.2,4160,Action,2012-05-23,united_state
250000000,122917,en,120.965743,956019788,144,Released,The Hobbit: The Battle of the Five Armies,7.1,4760,Action,2014-12-10,new_zealand
215000000,1930,en,89.866276,752215857,136,Released,The Amazing Spider-Man,6.5,6586,Action,2012-06-27,united_state
200000000,20662,en,37.668301,310669540,140,Released,Robin Hood,6.2,1398,Action,2010-05-12,united_kingdom
250000000,57158,en,94.370564,958400000,161,Released,The Hobbit: The Desolation of Smaug,7.6,4524,Advanture,2013-12-11,new_zealand
180000000,2268,en,42.990906,372234864,113,Released,The Golden Compass,5.8,1303,Advanture,2007-12-04,united_kingdom
207000000,254,en,61.22601,550000000,187,Released,King Kong,6.6,2337,Advanture,2005-12-14,new_zealand
200000000,597,en,100.025899,1845034188,194,Released,Titanic,7.5,7562,Comedy,1997-11-18,united_state
250000000,271110,en,198.372395,1153304495,147,Released,Captain America: Civil War,7.1,7241,Advanture,2016-04-27,united_state
209000000,44833,en,64.928382,303025485,131,Released,Battleship,5.5,2114,Thriller,2012-04-11,united_state
150000000,135397,en,418.708552,1513528810,124,Released,Jurassic World,6.5,8662,Action,2015-06-09,united_state
200000000,37724,en,93.004993,1108561013,143,Released,Skyfall,6.9,7604,Action,2012-10-25,united_kingdom
200000000,558,en,35.149586,783766341,127,Released,Spider-Man 2,6.7,4321,Action,2004-06-25,united_state
200000000,68721,en,77.68208,1215439994,130,Released,Iron Man 3,6.8,8806,Action,2013-04-18,china
200000000,12155,en,78.530105,1025491110,108,Released,Alice in Wonderland,6.4,4645,others,2010-03-03,united_state
210000000,36668,en,3.857526,459359555,104,Released,X-Men: The Last Stand,6.3,3525,Advanture,2006-05-24,canada
200000000,62211,en,89.186492,743559607,104,Released,Monsters University,7,3528,Animation,2013-06-20,united_state
150000000,8373,en,21.939663,836297228,150,Released,Transformers: Revenge of the Fallen,6,3138,Science fiction,2009-06-19,united_state
210000000,91314,en,116.840296,1091405097,165,Released,Transformers: Age of Extinction,5.8,3095,Science fiction,2014-06-25,united_state
200000000,68728,en,46.985445,491868548,130,Released,Oz: The Great and Powerful,5.7,3530,Science fiction,2013-03-07,united_state
200000000,102382,en,89.270217,705717432,142,Released,The Amazing Spider-Man 2,6.5,4179,Action,2014-04-16,united_state
170000000,20526,en,73.79505,400062763,125,Released,TRON: Legacy,6.3,2841,Advanture,2010-12-10,united_state
200000000,49013,en,49.98659,559852396,106,Released,Cars 2,5.8,2033,Animation,2011-06-11,united_state
200000000,44912,en,51.872839,219851172,114,Released,Green Lantern,5.1,2487,Advanture,2011-06-16,united_state
200000000,10193,en,59.995418,1066969703,103,Released,Toy Story 3,7.6,4597,Animation,2010-06-16,united_state
200000000,534,en,71.862892,371353001,115,Released,Terminator Salvation,5.9,2463,Action,2009-05-20,germany
190000000,168259,en,102.322217,1506249360,137,Released,Furious 7,7.3,4176,Action,2015-04-01,japan
200000000,72190,en,81.834855,531865000,116,Released,World War Z,6.7,5560,Action,2013-06-20,united_state
250000000,127585,en,118.078691,747862775,131,Released,X-Men: Days of Future Past,7.5,6032,Action,2014-05-15,united_kingdom
190000000,54138,en,78.291018,467365246,132,Released,Star Trek Into Darkness,7.4,4418,Action,2013-05-05,united_state
195000000,81005,en,43.349855,197687603,114,Released,Jack the Giant Slayer,5.5,2598,Action,2013-02-27,united_state
105000000,64682,en,61.196071,351040419,143,Released,The Great Gatsby,7.3,3769,Comedy,2013-05-10,united_state
150000000,9543,en,62.169881,335154643,116,Released,Prince of Persia: The Sands of Time,6.2,2317,Advanture,2010-05-19,united_state
180000000,68726,en,56.523205,407602906,131,Released,Pacific Rim,6.7,4794,Action,2013-07-11,united_state
195000000,38356,en,28.529607,1123746996,154,Released,Transformers: Dark of the Moon,6.1,3299,Action,2011-06-28,united_state
185000000,217,en,75.674458,786636033,122,Released,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,Advanture,2008-05-21,united_state
175000000,105864,en,51.692953,331926147,93,Released,The Good Dinosaur,6.6,1736,Advanture,2015-11-14,united_state
185000000,62177,en,125.114374,538983207,93,Released,Brave,6.7,4641,Animation,2012-06-21,united_state
185000000,188927,en,65.352913,343471816,122,Released,Star Trek Beyond,6.6,2568,Action,2016-07-07,united_state
180000000,10681,en,66.390712,521311860,98,Released,WALL·E,7.8,6296,Animation,2008-06-22,united_state
140000000,5174,en,22.57178,258022233,91,Released,Rush Hour 3,6.1,783,Action,2007-08-08,united_state
200000000,14161,en,45.274225,769653595,158,Released,2012,5.6,4903,Action,2009-10-10,canada
200000000,17979,en,39.744242,325233863,96,Released,A Christmas Carol,6.6,1095,Animation,2009-11-04,united_state
176000003,76757,en,85.36908,183987723,124,Released,Jupiter Ascending,5.2,2768,Science fiction,2015-02-04,united_state
180000000,258489,en,42.741719,356743061,109,Released,The Legend of Tarzan,5.5,2430,Action,2016-06-29,canada
180000000,411,en,67.391328,748806957,143,Released,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629,Advanture,2005-12-07,united_kingdom
178000000,246655,en,139.272042,543934787,144,Released,X-Men: Apocalypse,6.4,4721,Science fiction,2016-05-18,united_state
185000000,155,en,187.322927,1004558444,152,Released,The Dark Knight,8.2,12002,Comedy,2008-07-16,united_kingdom
175000000,14160,en,92.201962,735099082,96,Released,Up,7.7,6870,Animation,2009-05-13,united_state
175000000,15512,en,36.167578,381509870,94,Released,Monsters vs Aliens,6,1423,Animation,2009-03-19,united_state
140000000,1726,en,120.725053,585174222,126,Released,Iron Man,7.4,8776,Action,2008-04-30,united_state
170000000,44826,en,32.319043,185770160,126,Released,Hugo,7,2141,Advanture,2011-11-22,france
170000000,8487,en,40.748915,222104681,106,Released,Wild Wild West,5.1,1020,Action,1999-06-29,united_state
145000000,1735,en,60.034162,401128639,112,Released,The Mummy: Tomb of the Dragon Emperor,5.2,1387,Advanture,2008-07-01,germany
175000000,297761,en,90.23792,745000000,123,Released,Suicide Squad,5.9,7458,Action,2016-08-02,united_state
175000000,2698,en,27.082182,173000000,96,Released,Evan Almighty,5.3,1151,Science fiction,2007-06-09,united_state
178000000,137113,en,79.456485,370541256,113,Released,Edge of Tomorrow,7.6,4858,Action,2014-05-27, australia
175000000,9804,en,44.640292,264218220,135,Released,Waterworld,5.9,992,Advanture,1995-07-28,united_state
175000000,14869,en,32.852443,302469017,118,Released,G.I. Joe: The Rise of Cobra,5.6,1962,Advanture,2009-08-04,czech republic
175000000,150540,en,128.655964,857611174,94,Released,Inside Out,8,6560,Comedy,2015-06-09,united_state
175000000,278927,en,94.199316,966550600,106,Released,The Jungle Book,6.7,2892,others,2016-04-07,united_kingdom
200000000,10138,en,77.300194,623933331,124,Released,Iron Man 2,6.6,6849,Advanture,2010-04-28,united_state
170000000,58595,en,77.178973,396600000,127,Released,Snow White and the Huntsman,5.8,3118,Advanture,2012-05-30,united_state
